
Report start -AR2- --2023-07-25--
4.a.R.L_PLiW2 and 4a.R.W_PLiW2 and 6.ab.LiW
i: 0 country: Austria n: 0
i: 1 country: Belgia n: 0
i: 2 country: Bu³garia n: 0
i: 3 country: Chorwacja n: 0
i: 4 country: Cypr n: 0
i: 5 country: Czechy n: 0
i: 6 country: Dania n: 0
i: 7 country: Estonia n: 0
i: 8 country: Finlandia n: 0
i: 9 country: Francja n: 0
i: 10 country: Grecja n: 0
i: 11 country: Hiszpania n: 0
i: 12 country: Niderlandy n: 0
i: 13 country: Irlandia n: 0
i: 14 country: Islandia n: 0
i: 15 country: Litwa  n: 0
i: 16 country: Liechtenstein n: 0
i: 17 country: Luksemburg n: 0
i: 18 country: £otwa n: 0
i: 19 country: Malta n: 0
i: 20 country: Niemcy n: 0
i: 21 country: Norwegia n: 0
i: 22 country: Polska n: 0
i: 23 country: Portugalia n: 0
i: 24 country: Rumunia n: 0
i: 25 country: S³owacja n: 0
i: 26 country: S³owenia n: 0
i: 27 country: Szwecja n: 0
i: 28 country: Wêgry n: 0
i: 29 country: W³ochy n: 0
i: 30 country: Krajowe n: 0
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 0
i: 0 country: Austria n: 1
i: 1 country: Belgia n: 1
i: 2 country: Bu³garia n: 1
i: 3 country: Chorwacja n: 1
i: 4 country: Cypr n: 1
i: 5 country: Czechy n: 1
i: 6 country: Dania n: 1
i: 7 country: Estonia n: 1
i: 8 country: Finlandia n: 1
i: 9 country: Francja n: 1
i: 10 country: Grecja n: 1
i: 11 country: Hiszpania n: 1
i: 12 country: Niderlandy n: 1
i: 13 country: Irlandia n: 1
i: 14 country: Islandia n: 1
i: 15 country: Litwa  n: 1
i: 16 country: Liechtenstein n: 1
i: 17 country: Luksemburg n: 1
i: 18 country: £otwa n: 1
i: 19 country: Malta n: 1
i: 20 country: Niemcy n: 1
i: 21 country: Norwegia n: 1
i: 22 country: Polska n: 1
i: 23 country: Portugalia n: 1
i: 24 country: Rumunia n: 1
i: 25 country: S³owacja n: 1
i: 26 country: S³owenia n: 1
i: 27 country: Szwecja n: 1
i: 28 country: Wêgry n: 1
i: 29 country: W³ochy n: 1
i: 30 country: Krajowe n: 1
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 1
i: 0 country: Austria n: 2
i: 1 country: Belgia n: 2
i: 2 country: Bu³garia n: 2
i: 3 country: Chorwacja n: 2
i: 4 country: Cypr n: 2
i: 5 country: Czechy n: 2
i: 6 country: Dania n: 2
i: 7 country: Estonia n: 2
i: 8 country: Finlandia n: 2
i: 9 country: Francja n: 2
i: 10 country: Grecja n: 2
i: 11 country: Hiszpania n: 2
i: 12 country: Niderlandy n: 2
i: 13 country: Irlandia n: 2
i: 14 country: Islandia n: 2
i: 15 country: Litwa  n: 2
i: 16 country: Liechtenstein n: 2
i: 17 country: Luksemburg n: 2
i: 18 country: £otwa n: 2
i: 19 country: Malta n: 2
i: 20 country: Niemcy n: 2
i: 21 country: Norwegia n: 2
i: 22 country: Polska n: 2
i: 23 country: Portugalia n: 2
i: 24 country: Rumunia n: 2
i: 25 country: S³owacja n: 2
i: 26 country: S³owenia n: 2
i: 27 country: Szwecja n: 2
i: 28 country: Wêgry n: 2
i: 29 country: W³ochy n: 2
i: 30 country: Krajowe n: 2
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 2
i: 0 country: Austria n: 3
i: 1 country: Belgia n: 3
i: 2 country: Bu³garia n: 3
i: 3 country: Chorwacja n: 3
i: 4 country: Cypr n: 3
i: 5 country: Czechy n: 3
i: 6 country: Dania n: 3
i: 7 country: Estonia n: 3
i: 8 country: Finlandia n: 3
i: 9 country: Francja n: 3
i: 10 country: Grecja n: 3
i: 11 country: Hiszpania n: 3
i: 12 country: Niderlandy n: 3
i: 13 country: Irlandia n: 3
i: 14 country: Islandia n: 3
i: 15 country: Litwa  n: 3
i: 16 country: Liechtenstein n: 3
i: 17 country: Luksemburg n: 3
i: 18 country: £otwa n: 3
i: 19 country: Malta n: 3
i: 20 country: Niemcy n: 3
i: 21 country: Norwegia n: 3
i: 22 country: Polska n: 3
i: 23 country: Portugalia n: 3
i: 24 country: Rumunia n: 3
i: 25 country: S³owacja n: 3
i: 26 country: S³owenia n: 3
i: 27 country: Szwecja n: 3
i: 28 country: Wêgry n: 3
i: 29 country: W³ochy n: 3
i: 30 country: Krajowe n: 3
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 3
i: 0 country: Austria n: 4
i: 1 country: Belgia n: 4
i: 2 country: Bu³garia n: 4
i: 3 country: Chorwacja n: 4
i: 4 country: Cypr n: 4
i: 5 country: Czechy n: 4
i: 6 country: Dania n: 4
i: 7 country: Estonia n: 4
i: 8 country: Finlandia n: 4
i: 9 country: Francja n: 4
i: 10 country: Grecja n: 4
i: 11 country: Hiszpania n: 4
i: 12 country: Niderlandy n: 4
i: 13 country: Irlandia n: 4
i: 14 country: Islandia n: 4
i: 15 country: Litwa  n: 4
i: 16 country: Liechtenstein n: 4
i: 17 country: Luksemburg n: 4
i: 18 country: £otwa n: 4
i: 19 country: Malta n: 4
i: 20 country: Niemcy n: 4
i: 21 country: Norwegia n: 4
i: 22 country: Polska n: 4
i: 23 country: Portugalia n: 4
i: 24 country: Rumunia n: 4
i: 25 country: S³owacja n: 4
i: 26 country: S³owenia n: 4
i: 27 country: Szwecja n: 4
i: 28 country: Wêgry n: 4
i: 29 country: W³ochy n: 4
i: 30 country: Krajowe n: 4
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 4
i: 0 country: Austria n: 5
i: 1 country: Belgia n: 5
i: 2 country: Bu³garia n: 5
i: 3 country: Chorwacja n: 5
i: 4 country: Cypr n: 5
i: 5 country: Czechy n: 5
i: 6 country: Dania n: 5
i: 7 country: Estonia n: 5
i: 8 country: Finlandia n: 5
i: 9 country: Francja n: 5
i: 10 country: Grecja n: 5
i: 11 country: Hiszpania n: 5
i: 12 country: Niderlandy n: 5
i: 13 country: Irlandia n: 5
i: 14 country: Islandia n: 5
i: 15 country: Litwa  n: 5
i: 16 country: Liechtenstein n: 5
i: 17 country: Luksemburg n: 5
i: 18 country: £otwa n: 5
i: 19 country: Malta n: 5
i: 20 country: Niemcy n: 5
i: 21 country: Norwegia n: 5
i: 22 country: Polska n: 5
i: 23 country: Portugalia n: 5
i: 24 country: Rumunia n: 5
i: 25 country: S³owacja n: 5
i: 26 country: S³owenia n: 5
i: 27 country: Szwecja n: 5
i: 28 country: Wêgry n: 5
i: 29 country: W³ochy n: 5
i: 30 country: Krajowe n: 5
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 5
i: 0 country: Austria n: 6
i: 1 country: Belgia n: 6
i: 2 country: Bu³garia n: 6
i: 3 country: Chorwacja n: 6
i: 4 country: Cypr n: 6
i: 5 country: Czechy n: 6
i: 6 country: Dania n: 6
i: 7 country: Estonia n: 6
i: 8 country: Finlandia n: 6
i: 9 country: Francja n: 6
i: 10 country: Grecja n: 6
i: 11 country: Hiszpania n: 6
i: 12 country: Niderlandy n: 6
i: 13 country: Irlandia n: 6
i: 14 country: Islandia n: 6
i: 15 country: Litwa  n: 6
i: 16 country: Liechtenstein n: 6
i: 17 country: Luksemburg n: 6
i: 18 country: £otwa n: 6
i: 19 country: Malta n: 6
i: 20 country: Niemcy n: 6
i: 21 country: Norwegia n: 6
i: 22 country: Polska n: 6
i: 23 country: Portugalia n: 6
i: 24 country: Rumunia n: 6
i: 25 country: S³owacja n: 6
i: 26 country: S³owenia n: 6
i: 27 country: Szwecja n: 6
i: 28 country: Wêgry n: 6
i: 29 country: W³ochy n: 6
i: 30 country: Krajowe n: 6
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 6
i: 0 country: Austria n: 7
i: 1 country: Belgia n: 7
i: 2 country: Bu³garia n: 7
i: 3 country: Chorwacja n: 7
i: 4 country: Cypr n: 7
i: 5 country: Czechy n: 7
i: 6 country: Dania n: 7
i: 7 country: Estonia n: 7
i: 8 country: Finlandia n: 7
i: 9 country: Francja n: 7
i: 10 country: Grecja n: 7
i: 11 country: Hiszpania n: 7
i: 12 country: Niderlandy n: 7
i: 13 country: Irlandia n: 7
i: 14 country: Islandia n: 7
i: 15 country: Litwa  n: 7
i: 16 country: Liechtenstein n: 7
i: 17 country: Luksemburg n: 7
i: 18 country: £otwa n: 7
i: 19 country: Malta n: 7
i: 20 country: Niemcy n: 7
i: 21 country: Norwegia n: 7
i: 22 country: Polska n: 7
i: 23 country: Portugalia n: 7
i: 24 country: Rumunia n: 7
i: 25 country: S³owacja n: 7
i: 26 country: S³owenia n: 7
i: 27 country: Szwecja n: 7
i: 28 country: Wêgry n: 7
i: 29 country: W³ochy n: 7
i: 30 country: Krajowe n: 7
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 7
i: 0 country: Austria n: 8
i: 1 country: Belgia n: 8
i: 2 country: Bu³garia n: 8
i: 3 country: Chorwacja n: 8
i: 4 country: Cypr n: 8
i: 5 country: Czechy n: 8
i: 6 country: Dania n: 8
i: 7 country: Estonia n: 8
i: 8 country: Finlandia n: 8
i: 9 country: Francja n: 8
i: 10 country: Grecja n: 8
i: 11 country: Hiszpania n: 8
i: 12 country: Niderlandy n: 8
i: 13 country: Irlandia n: 8
i: 14 country: Islandia n: 8
i: 15 country: Litwa  n: 8
i: 16 country: Liechtenstein n: 8
i: 17 country: Luksemburg n: 8
i: 18 country: £otwa n: 8
i: 19 country: Malta n: 8
i: 20 country: Niemcy n: 8
i: 21 country: Norwegia n: 8
i: 22 country: Polska n: 8
i: 23 country: Portugalia n: 8
i: 24 country: Rumunia n: 8
i: 25 country: S³owacja n: 8
i: 26 country: S³owenia n: 8
i: 27 country: Szwecja n: 8
i: 28 country: Wêgry n: 8
i: 29 country: W³ochy n: 8
i: 30 country: Krajowe n: 8
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 8
i: 0 country: Austria n: 9
i: 1 country: Belgia n: 9
i: 2 country: Bu³garia n: 9
i: 3 country: Chorwacja n: 9
i: 4 country: Cypr n: 9
i: 5 country: Czechy n: 9
i: 6 country: Dania n: 9
i: 7 country: Estonia n: 9
i: 8 country: Finlandia n: 9
i: 9 country: Francja n: 9
i: 10 country: Grecja n: 9
i: 11 country: Hiszpania n: 9
i: 12 country: Niderlandy n: 9
i: 13 country: Irlandia n: 9
i: 14 country: Islandia n: 9
i: 15 country: Litwa  n: 9
i: 16 country: Liechtenstein n: 9
i: 17 country: Luksemburg n: 9
i: 18 country: £otwa n: 9
i: 19 country: Malta n: 9
i: 20 country: Niemcy n: 9
i: 21 country: Norwegia n: 9
i: 22 country: Polska n: 9
i: 23 country: Portugalia n: 9
i: 24 country: Rumunia n: 9
i: 25 country: S³owacja n: 9
i: 26 country: S³owenia n: 9
i: 27 country: Szwecja n: 9
i: 28 country: Wêgry n: 9
i: 29 country: W³ochy n: 9
i: 30 country: Krajowe n: 9
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 9
i: 0 country: Austria n: 10
i: 1 country: Belgia n: 10
i: 2 country: Bu³garia n: 10
i: 3 country: Chorwacja n: 10
i: 4 country: Cypr n: 10
i: 5 country: Czechy n: 10
i: 6 country: Dania n: 10
i: 7 country: Estonia n: 10
i: 8 country: Finlandia n: 10
i: 9 country: Francja n: 10
i: 10 country: Grecja n: 10
i: 11 country: Hiszpania n: 10
i: 12 country: Niderlandy n: 10
