num,name,ilosc,wartosc
1,Austria,4927,533922.7
2,Belgia,3411,364062.85
3,Bułgaria,508,41338.61
4,Chorwacja,218,9960.14
5,Cypr,228,45188.78
6,Czechy,21046,3196394.69
7,Dania,4673,504998.34
8,Estonia,1113,86077.29
9,Finlandia,725,48571.95
10,Francja,4372,325570.59
11,Grecja,178,9256.77
12,Hiszpania,5271,288197.61
13,Holandia,17773,1571715.91
14,Irlandia,4675,373083.54
15,Islandia,958,106352.97
16,Litwa ,10910,1448297.22
17,Liechtenstein,3,947.0
18,Luksemburg,32,3118.6
19,Łotwa,1823,155031.92
20,Malta,211,18568.7
21,Niemcy,36415,6261246.46
22,Norwegia,2318,167099.72
23,Polska,0,0.0
24,Portugalia,1769,85456.03
25,Rumunia,1304,81623.75
26,Słowacja,4387,347967.47
27,Słowenia,329,20177.55
28,Szwecja,10236,956227.63
29,Węgry,3264,265396.04
30,Włochy,8988,582016.13
31,Krajowe,14628242,844148082.18
32,Pozostałe kraje świata (poza EOG),175712,13249122.08
