,ARN,tr_sink_node,m_network,MID,MID_name,TID,Typ_karty,czy_SCA,tr_amout,pos_entry_mode,country,podział NBP,trx_date,posted_date,quarter,FT,FT description,country_aggr
0,74410493100018407963104,SN-Visa,,B5091,BAKO MAREK BĄKOWSKI,19137607,Credit,non_SCA,63.98,CTLS,US,G1,2023-04-10,2023-04-23,2,4,Karta sfałszowana,NPL
1,74410493115018506674613,SN-Visa,Niezrzeszeni,S9681,Sklep Spożywczo Monopolowy SKO,20054907,Debit,non_SCA,32.99,CTLS,PL,PL,2023-04-25,2023-05-11,2,1,Zgubienie lub kradzież karty,PL
2,74410493125018572704060,SN-Visa,Finfactoria,K4577,KULIG SPÓŁKA Z OGRANICZONĄ ODP,13591407,Credit,non_SCA,520.0,CHIP,US,G1,2023-05-10,2023-05-12,2,4,Karta sfałszowana,NPL
3,74410493161018842818323,SN-Visa,GL,T7189,TABAK GRUPA SP. Z O.O.,19113507,Debit,non_SCA,31.98,CTLS,PL,PL,2023-06-10,2023-06-22,2,1,Zgubienie lub kradzież karty,PL
4,74410493167018883769124,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Credit,non_SCA,29.99,CTLS,US,G1,2023-06-16,2023-06-22,2,4,Karta sfałszowana,NPL
5,74410493115018506669399,SN-Visa,Niezrzeszeni,S9681,Sklep Spożywczo Monopolowy SKO,20054907,Debit,non_SCA,48.98,CTLS,PL,PL,2023-04-25,2023-05-11,2,1,Zgubienie lub kradzież karty,PL
6,74410493115018509806014,SN-Visa,Niezrzeszeni,S9681,Sklep Spożywczo Monopolowy SKO,20054907,Debit,non_SCA,54.48,CTLS,PL,PL,2023-04-25,2023-05-11,2,1,Zgubienie lub kradzież karty,PL
7,74410493162018847887330,SN-Visa,Huzar,K0508,KWITOWSKI PALIWA SP. Z O.O.,11348507,Debit,non_SCA,60.0,CTLS,PL,PL,2023-06-11,2023-06-26,2,0,Zgubienie lub kradzież karty,PL
8,74410493162018849701638,SN-Visa,Niezrzeszeni,S2162,Seven Spades Piotr Siemaszko,04826907,Debit,non_SCA,90.0,CTLS,GB,G1,2023-06-11,2023-06-20,2,1,Zgubienie lub kradzież karty,NPL
9,74410493171018914403184,SN-Visa,Niezrzeszeni,J3053,Joanna Grabowska WARZYWNIAK  O,20818907,Debit,non_SCA,9.89,CTLS,PL,PL,2023-06-20,2023-06-26,2,1,Zgubienie lub kradzież karty,PL
10,74410493171018918839193,SN-Visa,Niezrzeszeni,J3053,Joanna Grabowska WARZYWNIAK  O,20818907,Debit,non_SCA,34.73,CTLS,PL,PL,2023-06-20,2023-06-26,2,1,Zgubienie lub kradzież karty,PL
11,74410493171018919430398,SN-Visa,Niezrzeszeni,J3053,Joanna Grabowska WARZYWNIAK  O,20818907,Debit,non_SCA,22.08,CTLS,PL,PL,2023-06-20,2023-06-26,2,1,Zgubienie lub kradzież karty,PL
12,74410493119018539998258,SN-Visa,Niezrzeszeni,G5531,GOMIK Małgorzata Miklas,07817307,Debit,non_SCA,15.99,CTLS,PL,PL,2023-04-29,2023-05-27,2,1,Zgubienie lub kradzież karty,PL
13,74410493155018800304504,SN-Visa,Niezrzeszeni,S9681,Sklep Spożywczo Monopolowy SKO,20054907,Credit,non_SCA,70.88,CTLS,GB,G1,2023-06-04,2023-06-16,2,4,Karta sfałszowana,NPL
14,74410493090018343830799,SN-Visa,Niezrzeszeni,F2376,Fuczyło FHU Mariusz Fuczyło,07504607,Debit,non_SCA,96.6,CTLS,PL,PL,2023-03-31,2023-04-08,2,1,Zgubienie lub kradzież karty,PL
15,74410493090018348774422,SN-Visa,Niezrzeszeni,Y1068,Beauty Nails ANGELIKA BEŁC,12998707,Credit,non_SCA,470.0,CTLS,US,G1,2023-03-31,2023-04-08,2,4,Karta sfałszowana,NPL
16,74410493133018636262717,SN-Visa,Niezrzeszeni,B4554,Bler  Michał Kibler,15626607,Credit,SCA,48.6,CTLS,IT,IT,2023-05-13,2023-06-10,2,B,Nieznane oznaczenie - B,NPL
17,74410493160018832288066,SN-Visa,Wiele Rachunków,F2448,FUNDACJA ARTE NOVUM,08357907,Credit,non_SCA,98.0,CTLS,US,G1,2023-06-09,2023-06-27,2,0,Zgubienie lub kradzież karty,NPL
18,74410493167018883770932,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Credit,non_SCA,739.98,CTLS,US,G1,2023-06-16,2023-06-22,2,4,Karta sfałszowana,NPL
19,74410493168018893046512,SN-Visa,Niezrzeszeni,S9681,Sklep Spożywczo Monopolowy SKO,20054907,Debit,non_SCA,33.26,CTLS,PL,PL,2023-06-17,2023-06-24,2,1,Zgubienie lub kradzież karty,PL
20,74410493056018128407831,SN-Visa,Niezrzeszeni,Y1991,CHM GOGOLA BOCZOŃ SPÓŁKA JAW,15029907,Debit,non_SCA,138.9,CTLS,DK,DK,2023-02-25,2023-06-12,2,1,Zgubienie lub kradzież karty,NPL
21,74410493084018307202280,SN-Visa,Niezrzeszeni,N1419,Norbert Świderski Norka,18686807,Debit,non_SCA,19.5,CTLS,PL,PL,2023-03-25,2023-04-02,2,1,Zgubienie lub kradzież karty,PL
