,ARN,tr_sink_node,m_network,MID,MID_name,TID,tr_amout,pos_entry_mode,cc_A2,Typ_karty,czy_SCA,podział NBP
0,05185243010029345915846,SN-MasterC,Niezrzeszeni,P8349,Przedsiębiorstwo Handlowo Usłu,18180407,3.0,CTLS,PL,Debit,non_SCA,PL
1,05185243010029346132177,SN-MasterC,Niezrzeszeni,P8349,Przedsiębiorstwo Handlowo Usłu,18180407,4.5,CTLS,PL,Debit,non_SCA,PL
2,05185243010029351149884,SN-MasterC,Niezrzeszeni,Z1456,Żółkowska Magdalena GALERIA U,14720307,2.5,CTLS,PL,Debit,non_SCA,PL
3,05185243065030200228121,SN-MasterC,Niezrzeszeni,D1389,Daviti Sp. z o.o.,08453407,34.0,CTLS,IT,Credit,non_SCA,IT
4,05185242358029145813789,SN-MasterC,Niezrzeszeni,C3323,Mała Czarna i nie tylko Ewa Cz,07963007,13.0,CTLS,US,Credit,non_SCA,G1
5,05185242364029212952124,SN-MasterC,Niezrzeszeni,K4158,Paulina Kowalik Sklep Mięsno-W,19116607,12.92,CTLS,PL,Credit,non_SCA,PL
6,05185243060030110609530,SN-MasterC,Niezrzeszeni,D0025,Dona Aneta Cywińska,03911307,52.5,CTLS,GB,Debit,non_SCA,G1
7,05185243010029351027288,SN-MasterC,Niezrzeszeni,Z1456,Żółkowska Magdalena GALERIA U,14720307,90.0,CTLS,PL,Debit,non_SCA,PL
8,05185242276027737386171,SN-MasterC,Wiele Rachunków,F2448,FUNDACJA ARTE NOVUM,11102207,247.0,CHIP,GB,Credit,non_SCA,G1
9,05185242358029146394821,SN-MasterC,Niezrzeszeni,C3323,Mała Czarna i nie tylko Ewa Cz,07963007,16.0,CTLS,US,Credit,non_SCA,G1
10,05185242358029148095855,SN-MasterC,Niezrzeszeni,C3323,Mała Czarna i nie tylko Ewa Cz,07963007,16.0,CTLS,US,Credit,non_SCA,G1
11,05185243010029350750518,SN-MasterC,Niezrzeszeni,Z1456,Żółkowska Magdalena GALERIA U,14720307,13.1,CTLS,PL,Debit,non_SCA,PL
12,05185243010029351011258,SN-MasterC,Niezrzeszeni,Z1456,Żółkowska Magdalena GALERIA U,14720307,90.0,CTLS,PL,Debit,non_SCA,PL
13,05185243010029351082242,SN-MasterC,Niezrzeszeni,Z1456,Żółkowska Magdalena GALERIA U,14720307,30.0,CTLS,PL,Debit,non_SCA,PL
14,05185243010029351105662,SN-MasterC,Niezrzeszeni,Z1456,Żółkowska Magdalena GALERIA U,14720307,34.99,CTLS,PL,Debit,non_SCA,PL
15,05185242364029212997210,SN-MasterC,Niezrzeszeni,K4158,Paulina Kowalik Sklep Mięsno-W,19116607,63.0,CTLS,PL,Credit,non_SCA,PL
16,05185243010029350865498,SN-MasterC,Niezrzeszeni,Z1456,Żółkowska Magdalena GALERIA U,14720307,29.99,CTLS,PL,Debit,non_SCA,PL
