,ARN,trx_date,posted_date,quarter,FT,FT description
0,74410493005017828454962,2023-01-05,2023-01-09,1,1,Zgubienie lub kradzież karty
1,74410493005017828451661,2023-01-05,2023-01-09,1,1,Zgubienie lub kradzież karty
2,74410493005017828462023,2023-01-05,2023-01-09,1,1,Zgubienie lub kradzież karty
3,74410493007017831981769,2023-01-07,2023-01-13,1,0,Zgubienie lub kradzież karty
4,74410493007017831975381,2023-01-07,2023-01-13,1,0,Zgubienie lub kradzież karty
5,74410493007017831917052,2023-01-07,2023-01-13,1,0,Zgubienie lub kradzież karty
6,74410493007017831927267,2023-01-07,2023-01-13,1,0,Zgubienie lub kradzież karty
7,74410493007017831921500,2023-01-07,2023-01-13,1,0,Zgubienie lub kradzież karty
8,74410492334017608880877,2022-11-30,2023-01-13,1,6,Pozostałe
9,74410492341017654864107,2022-12-07,2023-02-02,1,1,Zgubienie lub kradzież karty
10,74410492351017724524365,2022-12-17,2023-02-18,1,0,Zgubienie lub kradzież karty
11,74410493059018147855579,2023-02-28,2023-03-10,1,1,Zgubienie lub kradzież karty
12,74410493063018170959771,2023-03-04,2023-03-11,1,0,Zgubienie lub kradzież karty
13,74410493063018171016225,2023-03-04,2023-03-11,1,0,Zgubienie lub kradzież karty
14,74410492344017673832314,2022-12-10,2023-03-17,1,0,Zgubienie lub kradzież karty
15,74410492302017406869161,2022-10-29,2023-03-17,1,0,Zgubienie lub kradzież karty
16,74410493070018219974402,2023-03-11,2023-03-17,1,0,Zgubienie lub kradzież karty
17,74410493021017916143345,2023-01-21,2023-03-19,1,6,Pozostałe
18,74410493019017902217818,2023-01-19,2023-03-19,1,6,Pozostałe
19,74410493019017902215549,2023-01-19,2023-03-19,1,6,Pozostałe
20,74410493021017916117588,2023-01-21,2023-03-19,1,6,Pozostałe
21,74410493019017902223113,2023-01-19,2023-03-19,1,6,Pozostałe
22,74410493021017916091973,2023-01-21,2023-03-19,1,6,Pozostałe
23,74410493021017916107670,2023-01-21,2023-03-19,1,6,Pozostałe
24,74410493019017902221422,2023-01-19,2023-03-19,1,6,Pozostałe
25,74410493021017916126746,2023-01-21,2023-03-19,1,6,Pozostałe
26,74410493021017916068500,2023-01-21,2023-03-19,1,6,Pozostałe
27,74410493054018113424959,2023-02-23,2023-03-20,1,0,Zgubienie lub kradzież karty
28,74410493069018212344275,2023-03-10,2023-03-20,1,0,Zgubienie lub kradzież karty
29,74410493046018065931697,2023-02-15,2023-03-20,1,0,Zgubienie lub kradzież karty
30,74410493054018113424959,2023-02-23,2023-03-21,1,0,Zgubienie lub kradzież karty
31,74410493069018212344275,2023-03-10,2023-03-21,1,0,Zgubienie lub kradzież karty
32,74410493046018065931697,2023-02-15,2023-03-21,1,0,Zgubienie lub kradzież karty
33,74410493078018268722720,2023-03-19,2023-03-24,1,0,Zgubienie lub kradzież karty
34,74410493078018268730467,2023-03-19,2023-03-24,1,0,Zgubienie lub kradzież karty
35,74410493085018314182698,2023-03-26,2023-03-31,1,1,Zgubienie lub kradzież karty
