,ARN,tr_sink_node,m_network,MID,MID_name,TID,Typ_karty,czy_SCA,tr_amout,pos_entry_mode,country,podział NBP,trx_date,posted_date,quarter,FT,FT description
0,74410493119018539998258,SN-Visa,Niezrzeszeni,G5531,GOMIK Małgorzata Miklas,07817307,Debit,non_SCA,15.99,CTLS,PL,PL,2023-04-29,2023-05-27,2,1,Zgubienie lub kradzież karty
1,74410493155018800304504,SN-Visa,Niezrzeszeni,S9681,Sklep Spożywczo Monopolowy SKO,20054907,Credit,non_SCA,70.88,CTLS,GB,G1,2023-06-04,2023-06-16,2,4,Karta sfałszowana
2,74410493100018407963104,SN-Visa,,B5091,BAKO MAREK BĄKOWSKI,19137607,Credit,non_SCA,63.98,CTLS,US,G1,2023-04-10,2023-04-23,2,4,Karta sfałszowana
3,74410493115018506674613,SN-Visa,Niezrzeszeni,S9681,Sklep Spożywczo Monopolowy SKO,20054907,Debit,non_SCA,32.99,CTLS,PL,PL,2023-04-25,2023-05-11,2,1,Zgubienie lub kradzież karty
4,74410493125018572704060,SN-Visa,Finfactoria,K4577,KULIG SPÓŁKA Z OGRANICZONĄ ODP,13591407,Credit,non_SCA,520.0,CHIP,US,G1,2023-05-10,2023-05-12,2,4,Karta sfałszowana
5,74410493161018842818323,SN-Visa,GL,T7189,TABAK GRUPA SP. Z O.O.,19113507,Debit,non_SCA,31.98,CTLS,PL,PL,2023-06-10,2023-06-22,2,1,Zgubienie lub kradzież karty
6,74410493167018883769124,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Credit,non_SCA,29.99,CTLS,US,G1,2023-06-16,2023-06-22,2,4,Karta sfałszowana
7,74410493056018128407831,SN-Visa,Niezrzeszeni,Y1991,CHM GOGOLA BOCZOŃ SPÓŁKA JAW,15029907,Debit,non_SCA,138.9,CTLS,DK,DK,2023-02-25,2023-06-12,2,1,Zgubienie lub kradzież karty
8,74410493084018307202280,SN-Visa,Niezrzeszeni,N1419,Norbert Świderski Norka,18686807,Debit,non_SCA,19.5,CTLS,PL,PL,2023-03-25,2023-04-02,2,1,Zgubienie lub kradzież karty
9,74410493084018307202371,SN-Visa,Niezrzeszeni,N1419,Norbert Świderski Norka,18686807,Debit,non_SCA,43.98,CTLS,PL,PL,2023-03-25,2023-04-02,2,1,Zgubienie lub kradzież karty
