,ARN,tr_sink_node,m_network,MID,MID_name,TID,Typ_karty,czy_SCA,tr_amout,pos_entry_mode,country,podział NBP
<<<<<<< HEAD
0,74410493179018980056215,SN-Visa,Niezrzeszeni,P6320,PAWEŁ SZAFRANIEC,11765507,Debit,non_SCA,500.0,011,US,G1
1,74410493191019064326312,SN-Visa,Niezrzeszeni,D2542,Daniel Kucharski GASTRONOMIA,11304307,Credit,non_SCA,19.0,CTLS,CA,G1
2,74410493193019086249805,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,5.29,CTLS,PL,PL
3,74410493203019160507464,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,15.0,CTLS,PL,PL
4,74410493242019441737420,SN-Visa,Niezrzeszeni,W2947,Władysław Lenar,09207207,Debit,SCA,10.0,CTLS,US,G1
5,74410493158018818530147,SN-Visa,Kasa Next,G1141,GEORGIA INVEST SP Z O O,18619907,Credit,non_SCA,54.5,CTLS,PL,PL
6,74410493193019086883207,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,12.57,CTLS,PL,PL
7,74410493195019104890562,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,62.98,CTLS,US,G1
8,74410493212019227997525,SN-Visa,Niezrzeszeni,J0702,Kiosk Janiak Janiak Grażyna,05005907,Debit,non_SCA,58.48,CTLS,CZ,CZ
9,74410493216019255932325,SN-Visa,Niezrzeszeni,M3544,Robert Mroczka Grubtrans,19569807,Debit,non_SCA,5.5,CTLS,PL,PL
10,74410493221019288690448,SN-Visa,Niezrzeszeni,E1826,ELECTIO SP. Z O.O.,11381107,Debit,non_SCA,39.0,CTLS,PL,PL
11,74410493156018805833613,SN-Visa,Wiele Rachunków,F3003,FATEMA BD SPÓŁKA Z OGRANICZONĄ,11742207,Credit,SCA,22.5,CTLS,US,G1
12,74410493178018973846235,SN-Visa,Niezrzeszeni,P6320,PAWEŁ SZAFRANIEC,11765507,Debit,non_SCA,398.0,011,US,G1
13,74410493193019082317721,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,67.35,CTLS,PL,PL
14,74410493193019086878009,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,26.57,CTLS,PL,PL
15,74410493196019105056659,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,219.99,CTLS,US,G1
