,num,name,ilosc,wartosc
0,1,Austria,1353,154194.5400
1,2,Belgia,21401,1853793.9100
2,3,Bułgaria,1036,84290.7900
3,4,Chorwacja,646,45903.5500
4,5,Cypr,327,47270.7900
5,6,Czechy,60019,6119425.1600
6,7,Dania,14784,1547261.8900
7,8,Estonia,239,26210.8300
8,9,Finlandia,5353,348732.9500
9,10,Francja,11385,1320932.9500
10,11,Grecja,1094,104443.7900
11,12,Hiszpania,7013,544176.3300
12,13,Holandia,18459,1774506.8100
13,14,Irlandia,12659,1656720.3900
14,15,Islandia,6869,691553.2900
15,16,Litwa ,9054,798444.5300
16,17,Liechtenstein,6,3701.0000
17,18,Luksemburg,1401,189954.9200
18,19,Łotwa,1400,128879.1900
19,20,Malta,257,21908.2400
20,21,Niemcy,73135,10758247.7100
21,22,Norwegia,49139,5300005.2400
22,23,Polska,0,0.0000
23,24,Portugalia,694,75501.2200
24,25,Rumunia,2242,184990.0300
25,26,Słowacja,20734,1935988.0000
26,27,Słowenia,436,30577.8800
27,28,Szwecja,11096,1003438.9600
28,29,Węgry,751,64483.3400
29,30,Włochy,4179,376925.7100
30,31,Krajowe,27034305,1448910462.4800
31,32,Pozostałe kraje świata (poza EOG),758348,53955856.4400
