,ARN,tr_sink_node,m_network,MID,MID_name,TID,Typ_karty,czy_SCA,tr_amout,pos_entry_mode,country,podział NBP,trx_date,posted_date,quarter,FT,FT description,country_aggr
0,74410493158018818530147,SN-Visa,Kasa Next,G1141,GEORGIA INVEST SP Z O O,18619907,Credit,non_SCA,54.5,CTLS,PL,PL,2023-06-07,2023-07-03,3,1,Zgubienie lub kradzież karty,PL
1,74410493193019086883207,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,12.57,CTLS,PL,PL,2023-07-12,2023-09-16,3,1,Zgubienie lub kradzież karty,PL
2,74410493195019104890562,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,62.98,CTLS,US,G1,2023-07-14,2023-07-29,3,4,Karta sfałszowana,NPL
3,74410493212019227997525,SN-Visa,Niezrzeszeni,J0702,Kiosk Janiak Janiak Grażyna,05005907,Debit,non_SCA,58.48,CTLS,CZ,CZ,2023-07-31,2023-08-11,3,1,Zgubienie lub kradzież karty,NPL
4,74410493216019255932325,SN-Visa,Niezrzeszeni,M3544,Robert Mroczka Grubtrans,19569807,Debit,non_SCA,5.5,CTLS,PL,PL,2023-08-04,2023-08-20,3,4,Karta sfałszowana,PL
5,74410493221019288690448,SN-Visa,Niezrzeszeni,E1826,ELECTIO SP. Z O.O.,11381107,Debit,non_SCA,39.0,CTLS,PL,PL,2023-08-09,2023-08-20,3,1,Zgubienie lub kradzież karty,PL
6,74410493179018980056215,SN-Visa,Niezrzeszeni,P6320,PAWEŁ SZAFRANIEC,11765507,Debit,non_SCA,500.0,011,US,G1,2023-06-28,2023-07-29,3,6,Pozostałe,NPL
7,74410493191019064326312,SN-Visa,Niezrzeszeni,D2542,Daniel Kucharski GASTRONOMIA,11304307,Credit,non_SCA,19.0,CTLS,CA,G1,2023-07-10,2023-08-12,3,6,Pozostałe,NPL
8,74410493193019086249805,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,5.29,CTLS,PL,PL,2023-07-12,2023-09-16,3,1,Zgubienie lub kradzież karty,PL
9,74410493203019160507464,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,15.0,CTLS,PL,PL,2023-07-22,2023-07-30,3,1,Zgubienie lub kradzież karty,PL
10,74410493242019441737420,SN-Visa,Niezrzeszeni,W2947,Władysław Lenar,09207207,Debit,SCA,10.0,CTLS,US,G1,2023-08-30,2023-09-11,3,4,Karta sfałszowana,NPL
11,74410493089018340910233,SN-Visa,Niezrzeszeni,S4799,SILBUD Michał Kupiński,09050907,Credit,non_SCA,111549.0,CHIP,US,G1,2023-08-12,2023-08-14,3,4,Karta sfałszowana,NPL
12,74410493090018349748268,SN-Visa,Niezrzeszeni,S4799,SILBUD Michał Kupiński,09050907,Credit,non_SCA,6260.0,CHIP,US,G1,2023-08-12,2023-08-14,3,4,Karta sfałszowana,NPL
13,74410493187019033294951,SN-Visa,Niezrzeszeni,S7140,F H U STARKA Magdalena Gwioźdz,13985107,Debit,non_SCA,46.3,CTLS,PL,PL,2023-07-06,2023-07-17,3,0,Zgubienie lub kradzież karty,PL
14,74410493193019085228081,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,23.09,CHIP,PL,PL,2023-07-12,2023-09-16,3,1,Zgubienie lub kradzież karty,PL
15,74410493193019085714106,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,4.78,CTLS,PL,PL,2023-07-12,2023-09-16,3,1,Zgubienie lub kradzież karty,PL
16,74410493196019105144687,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,1098.99,CTLS,US,G1,2023-07-15,2023-07-29,3,4,Karta sfałszowana,NPL
17,74410493203019162253265,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,3.0,CTLS,PL,PL,2023-07-22,2023-07-30,3,1,Zgubienie lub kradzież karty,PL
18,74410493222019297013664,SN-Visa,Niezrzeszeni,J1015,ORFI Jarosław Fiok,06293507,Credit,non_SCA,945.0,CTLS,US,G1,2023-08-10,2023-09-02,3,4,Karta sfałszowana,NPL
19,74410493242019441266305,SN-Visa,Niezrzeszeni,W2947,Władysław Lenar,09207207,Debit,SCA,19.0,CTLS,US,G1,2023-08-30,2023-09-11,3,4,Karta sfałszowana,NPL
20,74410493245019465937010,SN-Visa,Niezrzeszeni,A1844,Artemida s.c.,11079707,Debit,non_SCA,49.5,CTLS,PL,PL,2023-09-02,2023-09-08,3,1,Zgubienie lub kradzież karty,PL
21,74410493156018805833613,SN-Visa,Wiele Rachunków,F3003,FATEMA BD SPÓŁKA Z OGRANICZONĄ,11742207,Credit,SCA,22.5,CTLS,US,G1,2023-06-05,2023-07-07,3,0,Zgubienie lub kradzież karty,NPL
22,74410493178018973846235,SN-Visa,Niezrzeszeni,P6320,PAWEŁ SZAFRANIEC,11765507,Debit,non_SCA,398.0,011,US,G1,2023-06-27,2023-07-30,3,6,Pozostałe,NPL
23,74410493193019082317721,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,67.35,CTLS,PL,PL,2023-07-12,2023-09-16,3,1,Zgubienie lub kradzież karty,PL
24,74410493193019086878009,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,26.57,CTLS,PL,PL,2023-07-12,2023-09-16,3,1,Zgubienie lub kradzież karty,PL
25,74410493196019105056659,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,219.99,CTLS,US,G1,2023-07-15,2023-07-29,3,4,Karta sfałszowana,NPL
26,74410493196019105133508,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,1100.0,CTLS,US,G1,2023-07-15,2023-07-29,3,4,Karta sfałszowana,NPL
27,74410493203019160499571,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,3.0,CTLS,PL,PL,2023-07-22,2023-07-30,3,1,Zgubienie lub kradzież karty,PL
28,74410493218019268292723,SN-Visa,Niezrzeszeni,D0025,Dona Aneta Cywińska,20501407,Credit,non_SCA,79.2,CTLS,US,G1,2023-08-06,2023-08-11,3,1,Zgubienie lub kradzież karty,NPL
29,74410493141018693644070,SN-Visa,Wiele Rachunków,W3292,WAWA SP Z O O,20015707,Debit,non_SCA,50.0,CTLS,UA,G1,2023-05-21,2023-07-09,3,0,Zgubienie lub kradzież karty,NPL
30,74410493157018815763601,SN-Visa,Niezrzeszeni,M9364,ML GROUP ŁUKASZ PIETRYSZYN,19592307,Credit,non_SCA,23.9,CTLS,US,G1,2023-06-06,2023-07-07,3,0,Zgubienie lub kradzież karty,NPL
31,74410493159018826723444,SN-Visa,Niezrzeszeni,M2493,"KORONA-M.Nowakowska,M.,K. Kier",05204507,Credit,non_SCA,186.0,CTLS,US,G1,2023-06-08,2023-07-21,3,1,Zgubienie lub kradzież karty,NPL
32,74410493187019033276594,SN-Visa,Niezrzeszeni,S7140,F H U STARKA Magdalena Gwioźdz,13985107,Debit,non_SCA,35.34,CTLS,PL,PL,2023-07-06,2023-07-17,3,0,Zgubienie lub kradzież karty,PL
33,74410493193019085203902,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,55.98,CTLS,PL,PL,2023-07-12,2023-09-16,3,1,Zgubienie lub kradzież karty,PL
34,74410493193019086119412,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,10.17,CTLS,PL,PL,2023-07-12,2023-09-16,3,1,Zgubienie lub kradzież karty,PL
35,74410493195019104967576,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,352.97,CTLS,US,G1,2023-07-14,2023-07-29,3,4,Karta sfałszowana,NPL
36,74410493196019105072508,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,73.97,CTLS,US,G1,2023-07-15,2023-07-29,3,4,Karta sfałszowana,NPL
37,74410493196019105109797,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Debit,SCA,1098.99,CTLS,US,G1,2023-07-15,2023-07-29,3,4,Karta sfałszowana,NPL
38,74410493200019136647793,SN-Visa,Wiele Rachunków,R1158,Kiosk Regina W.Koronkiewicz,09267207,Debit,non_SCA,9.6,CTLS,US,G1,2023-07-19,2023-09-17,3,0,Zgubienie lub kradzież karty,NPL
39,74410493203019161814372,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,6.0,CTLS,PL,PL,2023-07-22,2023-07-30,3,1,Zgubienie lub kradzież karty,PL
40,74410493218019268291667,SN-Visa,Niezrzeszeni,D0025,Dona Aneta Cywińska,20501407,Credit,non_SCA,19.5,CTLS,US,G1,2023-08-06,2023-08-11,3,1,Zgubienie lub kradzież karty,NPL
41,74410493218019268293333,SN-Visa,Niezrzeszeni,D0025,Dona Aneta Cywińska,20501407,Credit,non_SCA,50.0,CHIP,US,G1,2023-08-06,2023-08-11,3,1,Zgubienie lub kradzież karty,NPL
42,74410493186019026720971,SN-Visa,Niezrzeszeni,P4780,Przystanek pierogarnia Breczko,08431607,Credit,non_SCA,49.0,CTLS,US,G1,2023-07-05,2023-08-05,3,0,Zgubienie lub kradzież karty,NPL
43,74410493193019083773666,SN-Visa,Niezrzeszeni,G1493,GMINNA SPÓŁDZIELNIA SAMOPOMOC,19139007,Credit,non_SCA,50.81,CTLS,PL,PL,2023-07-12,2023-09-16,3,1,Zgubienie lub kradzież karty,PL
44,74410493196019105044770,SN-Visa,Niezrzeszeni,G5590,Geo Michał Górczyński,08082607,Credit,non_SCA,36.0,CTLS,US,G1,2023-07-15,2023-08-20,3,2,Nieodebrana karta,NPL
45,74410493203019161376679,SN-Visa,Niezrzeszeni,P2453,PHU BORGEN Franczak Bogdan,13392407,Debit,non_SCA,6.0,CTLS,PL,PL,2023-07-22,2023-07-30,3,1,Zgubienie lub kradzież karty,PL
46,74410493245019466073682,SN-Visa,Niezrzeszeni,S3489,SKLEP WIELOBRANŻOWY TOMASZ SZE,06809207,Debit,non_SCA,49.5,CTLS,PL,PL,2023-09-02,2023-09-08,3,1,Zgubienie lub kradzież karty,PL
0,05185243254033715088130,SN-MasterC,Niezrzeszeni,H1162,HAKAN BOZKURT,11473407,Debit,non_SCA,60.0,CTLS,GB,G1,2023-09-11,2023-09-15,3,0,Zgubienie lub kradzież karty,NPL
1,05185243201032719809768,SN-MasterC,Wiele Rachunków,B2350,BAŁTYK  MARTA WIERZBOWSKA ADAM,18311207,Debit,non_SCA,61.0,CTLS,AU,G1,2023-07-20,2023-08-01,3,1,Zgubienie lub kradzież karty,NPL
2,05185243247033590200024,SN-MasterC,Niezrzeszeni,H1175,HOME KITCHEN SPÓŁKA Z OGRANICZ,15158607,Debit,non_SCA,26.0,CTLS,PL,PL,2023-09-04,2023-09-15,3,1,Zgubienie lub kradzież karty,PL
3,05185243179032259606432,SN-MasterC,Niezrzeszeni,S1701,Tomasz Satalecki,07844907,Credit,non_SCA,50.0,CTLS,US,G1,2023-06-28,2023-09-21,3,5,Pozostałe,NPL
4,05185243189032457911616,SN-MasterC,Niezrzeszeni,D0025,Dona Aneta Cywińska,03911307,Debit,non_SCA,54.0,CTLS,GB,G1,2023-07-08,2023-07-14,3,0,Zgubienie lub kradzież karty,NPL
