,karta,country,mcc,Typ_karty,te_pos_entry_mode,czy_moto,czy_niskokwotowa_zblizeniowa,czy_SCA,ilosc,wartosc_transakcji,te_tran_type,Wartość wypłat Cash Back,category,tr_rsp_code,tr_app_id
0,VISA,PL ,5812,Debit,CTLS,inne,0,0,6,867.0000,09,90.0000,Individual,00,07
1,VISA,PL ,5812,Debit,CTLS,inne,0,0,3,596.3000,09,450.0000,Individual,00,07
2,VISA,PL ,5599,Debit,CHIP,inne,0,0,23,17800.7400,00,0.0000,BUSINESS,00,07
3,VISA,AM ,5499,Debit,CTLS,inne,1,0,6,350.1500,00,0.0000,Individual,00,07
4,VISA,UA ,7011,Debit,CTLS,inne,1,0,3,120.4000,00,0.0000,BUSINESS,00,07
5,VISA,PL ,8111,Credit,CTLS,inne,1,0,17,658.5200,00,0.0000,Individual,00,07
6,VISA,RO ,5072,Debit,CTLS,inne,1,0,1,59.0000,00,0.0000,Individual,00,07
7,VISA,UA ,5946,Credit,CTLS,inne,0,0,2,227.0000,00,0.0000,Individual,00,07
8,VISA,GR ,5651,Credit,CTLS,inne,0,0,1,112.4300,00,0.0000,Individual,00,07
9,VISA,LT ,5732,Debit,CTLS,inne,1,0,6,245.1600,00,0.0000,Individual,00,07
10,VISA,PL ,7997,Debit,CTLS,inne,0,0,6462,1366861.7800,00,0.0000,Individual,00,07
11,VISA,AU ,5973,Debit,CHIP,inne,0,0,1,48.5000,00,0.0000,Individual,00,07
12,VISA,AL ,7221,Credit,CTLS,inne,1,0,2,100.0000,00,0.0000,Individual,00,07
13,VISA,PK ,7011,Debit,CTLS,inne,1,0,1,4.0000,00,0.0000,Individual,00,07
14,VISA,PL ,8999,Debit,CTLS,inne,0,0,1,492.4000,09,491.4000,Individual,00,07
15,VISA,AM ,5122,Credit,CTLS,inne,1,0,1,47.0000,00,0.0000,Individual,00,07
16,VISA,PL ,5411,Debit,CTLS,inne,1,0,1,99.9600,09,40.7200,Individual,00,07
17,VISA,GB ,4722,Debit,CTLS,inne,0,0,14,6247.1000,00,0.0000,Individual,00,07
18,VISA,IN ,5122,Debit,CHIP,inne,0,0,1,33.1000,00,0.0000,BUSINESS,00,07
19,VISA,BY ,5541,Credit,CTLS,inne,1,0,1,91.7700,00,0.0000,Individual,00,07
20,VISA,US ,8999,Debit,CTLS,inne,1,0,1,42.0000,00,0.0000,BUSINESS,00,07
21,VISA,MT ,7996,Debit,CTLS,inne,1,0,1,60.0000,00,0.0000,Individual,00,07
22,VISA,PL ,5994,Debit,MS,inne,0,0,3,308.0300,00,0.0000,Individual,00,07
23,VISA,LT ,7538,Debit,CHIP,inne,0,0,1,440.0000,00,0.0000,Individual,00,07
24,VISA,AZ ,5072,Debit,CTLS,inne,1,0,2,168.0000,00,0.0000,Individual,00,07
25,VISA,CZ ,5812,Debit,CHIP,inne,0,1,5,262.2900,00,0.0000,Individual,00,07
26,VISA,GB ,5641,Debit,CHIP,inne,0,0,7,1686.6100,00,0.0000,Individual,00,07
27,VISA,GB ,8099,Credit,CHIP,inne,0,0,51,52488.0000,00,0.0000,Individual,00,07
28,VISA,DE ,5331,Debit,CHIP,inne,0,0,158,82921.8800,00,0.0000,Individual,00,07
29,VISA,GB ,5065,Debit,CTLS,inne,0,0,1,200.0000,00,0.0000,BUSINESS,00,07
30,VISA,PT ,5422,Debit,CTLS,inne,0,0,1,550.0000,00,0.0000,Individual,00,07
31,VISA,CZ ,5942,Debit,CTLS,inne,0,0,6,1084.9500,00,0.0000,Individual,00,07
32,VISA,PL ,8111,Credit,CTLS,inne,0,0,6,25284.2000,00,0.0000,BUSINESS,00,07
33,VISA,PL ,7991,Debit,CTLS,inne,1,0,84,2583.8000,00,0.0000,BUSINESS,00,07
34,VISA,CZ ,0780,Debit,CTLS,inne,0,0,1,721.0500,00,0.0000,BUSINESS,00,07
35,VISA,DE ,7531,Debit,CTLS,inne,1,0,1,22.5000,20,0.0000,Individual,00,07
36,VISA,LT ,5941,Debit,CTLS,inne,0,0,2,349.0000,00,0.0000,Individual,00,07
37,VISA,GB ,5169,Credit,CTLS,inne,0,0,2,306.4100,00,0.0000,Individual,00,07
38,VISA,PL ,5599,Debit,CHIP,inne,0,0,23,7276.4900,00,0.0000,Individual,00,07
39,VISA,UA ,5814,Credit,CHIP,inne,0,0,1,12.9000,00,0.0000,Individual,00,07
40,VISA,GB ,5065,Credit,CHIP,inne,0,0,1,1400.0000,20,0.0000,BUSINESS,00,07
41,VISA,BE ,5122,Debit,CTLS,inne,1,0,172,6368.7700,00,0.0000,Individual,00,07
42,VISA,IE ,5691,Credit,CTLS,inne,1,0,2,86.0000,00,0.0000,Individual,00,07
43,VISA,CZ ,5992,Debit,CTLS,inne,1,1,8,651.0000,00,0.0000,Individual,00,07
44,VISA,KR ,4121,Credit,CHIP,inne,0,0,1,550.0000,00,0.0000,Individual,00,07
45,VISA,QA ,5499,Credit,CTLS,inne,1,0,3,69.5200,00,0.0000,Individual,00,07
46,VISA,QA ,5331,Debit,CTLS,inne,1,0,1,85.0000,00,0.0000,Individual,00,07
47,VISA,AT ,5331,Credit,CTLS,inne,0,0,1,275.0000,00,0.0000,Individual,00,07
48,VISA,DK ,4131,Debit,CTLS,inne,0,0,1,140.0000,00,0.0000,Individual,00,07
49,VISA,FI ,5261,Debit,CTLS,inne,1,0,2,50.0000,00,0.0000,Individual,00,07
50,VISA,LU ,5331,Debit,CTLS,inne,1,1,1,80.0000,00,0.0000,Individual,00,07
51,VISA,SE ,5661,Debit,CTLS,inne,0,0,2,368.9000,00,0.0000,Individual,00,07
52,VISA,PL ,7399,Debit,CTLS,inne,0,0,1,820.9000,09,819.1000,Individual,00,07
53,VISA,UA ,5122,Debit,MS,inne,0,0,107,130631.6600,00,0.0000,Individual,00,07
54,VISA,SA ,7011,Credit,CTLS,inne,0,0,2,2160.0000,00,0.0000,Individual,00,07
55,VISA,QA ,7399,Debit,CTLS,inne,1,0,3,180.0000,00,0.0000,Individual,00,07
56,VISA,IT ,5331,Credit,CHIP,inne,0,0,2,56.0000,00,0.0000,Individual,00,07
57,VISA,SK ,7941,Debit,CTLS,inne,0,0,1,174.0000,00,0.0000,Individual,00,07
58,VISA,GB ,7372,Debit,CTLS,inne,1,0,2,46.0000,00,0.0000,Individual,00,07
59,VISA,FR ,7298,Debit,CTLS,inne,1,0,6,348.7000,00,0.0000,Individual,00,07
60,VISA,SA ,3506,Debit,CTLS,inne,0,0,1,405.0000,00,0.0000,Individual,00,07
61,VISA,LK ,5462,Debit,CTLS,inne,1,0,1,38.0000,00,0.0000,Individual,00,07
62,VISA,PL ,7399,Debit,CTLS,inne,0,0,1,178.7600,09,176.9600,Individual,00,07
63,VISA,GE ,5813,Debit,CTLS,inne,0,0,1,111.0000,00,0.0000,Individual,00,07
64,VISA,NO ,5943,Debit,CTLS,inne,0,0,2,461.7200,00,0.0000,Individual,00,07
65,VISA,CN ,8011,Credit,CTLS,inne,0,0,1,120.0000,00,0.0000,BUSINESS,00,07
66,VISA,FI ,7011,Debit,CTLS,inne,1,0,16,550.0000,00,0.0000,Individual,00,07
67,VISA,PL ,7399,Debit,CTLS,inne,0,0,1,207.8000,09,206.0000,Individual,00,07
68,VISA,TW ,5812,Credit,CHIP,inne,0,0,3,517.2200,00,0.0000,BUSINESS,00,07
69,VISA,UA ,7011,Credit,MS,inne,0,0,5,543.0000,00,0.0000,Individual,00,07
70,VISA,PL ,5231,Credit,CTLS,inne,1,1,5,348.8000,00,0.0000,Individual,00,07
71,VISA,ES ,7299,Credit,CTLS,inne,1,0,2,111.9900,00,0.0000,BUSINESS,00,07
72,VISA,PL ,5122,Credit,CHIP,inne,0,1,16,664.8900,00,0.0000,Individual,00,07
73,VISA,LT ,5912,Debit,CHIP,inne,0,0,5,860.8500,00,0.0000,Individual,00,07
74,VISA,PL ,5972,Debit,CTLS,inne,1,0,4,199.0000,00,0.0000,BUSINESS,00,07
75,VISA,PL ,7534,Debit,CTLS,inne,1,1,29,2000.0000,00,0.0000,Individual,00,07
76,VISA,FR ,7999,Credit,CTLS,inne,0,0,2,237.0000,00,0.0000,BUSINESS,00,07
77,VISA,HR ,3506,Debit,CTLS,inne,1,0,6,304.0000,00,0.0000,Individual,00,07
78,VISA,PL ,7933,Debit,CTLS,inne,0,0,1,317.0000,00,0.0000,BUSINESS,00,07
79,VISA,NL ,5947,Credit,CTLS,inne,1,0,3,84.0000,00,0.0000,Individual,00,07
80,VISA,AU ,7399,Debit,CTLS,inne,1,0,15,731.0000,00,0.0000,Individual,00,07
81,VISA,DK ,5411,Debit,CTLS,inne,1,0,822,27090.1200,00,0.0000,Individual,00,07
82,VISA,FR ,4121,Credit,CTLS,inne,0,0,23,4576.0500,00,0.0000,Individual,00,07
83,VISA,NO ,5995,Debit,CTLS,inne,1,1,1,45.0600,00,0.0000,Individual,00,07
84,VISA,SK ,5811,Debit,CTLS,inne,1,0,5,209.0000,00,0.0000,BUSINESS,00,07
85,VISA,US ,4789,Credit,CTLS,inne,1,0,26,860.4800,00,0.0000,Individual,00,07
86,VISA,GB ,5933,Debit,CHIP,inne,0,0,1,110.0000,00,0.0000,Individual,00,07
87,VISA,BR ,7338,Debit,CHIP,inne,0,0,1,9.6000,00,0.0000,Individual,00,07
88,VISA,IT ,7941,Credit,CTLS,inne,0,0,2,470.0000,00,0.0000,Individual,00,07
89,VISA,PL ,5499,Debit,MS,inne,0,0,7,373.5200,00,0.0000,Individual,00,07
90,VISA,PL ,5541,Debit,CTLS,inne,0,0,6,900.3700,09,600.0000,BUSINESS,00,07
91,VISA,MX ,5813,Debit,CHIP,inne,0,0,7,304.0000,00,0.0000,Individual,00,07
92,VISA,AR ,5499,Debit,CTLS,inne,1,0,1,31.4000,00,0.0000,Individual,00,07
93,VISA,NO ,5812,Credit,CTLS,inne,1,0,2,129.0000,00,0.0000,BUSINESS,00,07
94,VISA,UA ,5722,Debit,CHIP,inne,0,0,3,31.5000,00,0.0000,Individual,00,07
95,VISA,PT ,5422,Credit,CTLS,inne,1,0,1,89.0600,00,0.0000,Individual,00,07
96,VISA,NL ,5231,Debit,CTLS,inne,1,0,7,270.9000,00,0.0000,Individual,00,07
97,VISA,IE ,4121,Debit,CHIP,inne,0,0,8,1764.5000,00,0.0000,Individual,00,07
98,VISA,MK ,5331,Debit,CTLS,inne,1,0,2,68.9000,00,0.0000,Individual,00,07
99,VISA,UA ,8042,Debit,CTLS,inne,0,0,5,1742.0000,00,0.0000,Individual,00,07
100,VISA,SI ,7841,Debit,CTLS,inne,1,0,1,52.0000,00,0.0000,Individual,00,07
101,VISA,FI ,5651,Credit,CTLS,inne,0,0,2,557.9300,00,0.0000,Individual,00,07
102,VISA,PL ,5541,Credit,CHIP,inne,0,1,39,1732.9600,00,0.0000,Individual,00,07
103,VISA,HK ,5944,Credit,CTLS,inne,1,0,1,50.0000,00,0.0000,Individual,00,07
104,VISA,GE ,4131,Debit,CTLS,inne,0,0,1,120.0000,00,0.0000,Individual,00,07
105,VISA,PL ,7277,Credit,CTLS,inne,0,0,8,3391.9000,00,0.0000,BUSINESS,00,07
106,VISA,PL ,7311,Debit,CTLS,inne,1,0,3443,134314.3900,00,0.0000,Individual,00,07
107,VISA,IT ,5561,Debit,CTLS,inne,0,0,2,1690.0000,00,0.0000,Individual,00,07
108,VISA,EE ,5499,Debit,CTLS,inne,1,0,2,9.3600,00,0.0000,Individual,00,07
109,VISA,FR ,5192,Debit,CTLS,inne,1,0,1,77.7000,00,0.0000,Individual,00,07
110,VISA,LT ,5422,Credit,CTLS,inne,1,0,9,418.9000,00,0.0000,Individual,00,07
111,VISA,GB ,5111,Credit,CHIP,inne,0,0,3,167.4500,00,0.0000,Individual,00,07
112,VISA,PL ,7535,Debit,CTLS,inne,0,0,136,96925.8600,00,0.0000,BUSINESS,00,07
113,VISA,ES ,5499,Debit,CTLS,inne,1,0,18,545.2700,00,0.0000,Individual,00,07
114,VISA,IE ,5533,Debit,CTLS,inne,0,0,3,560.0000,00,0.0000,Individual,00,07
115,VISA,EG ,8299,Credit,CTLS,inne,0,0,2,2000.0000,00,0.0000,Individual,00,07
116,VISA,PL ,7251,Credit,CTLS,inne,1,0,1,41.0000,00,0.0000,BUSINESS,00,07
117,VISA,PL ,5661,Debit,CTLS,inne,1,1,1,62.0000,00,0.0000,BUSINESS,00,07
118,VISA,PL ,4814,Debit,CTLS,inne,1,1,1,60.0000,00,0.0000,BUSINESS,00,07
