,Unnamed: 0,ARN,tr_sink_node,m_network,MID,MID_name,TID,Typ_karty,czy_SCA,tr_amout,pos_entry_mode,country,podział NBP,trx_date,posted_date,quarter,FT,FT description,country_aggr,Category,te_pos_entry_mode,czy_moto,czy_niskokwotowa_zblizeniowa
0,0,74410493265019615992035,SN-Visa,Niezrzeszeni,S6856,SKLEP SPOŻYWCZO MONOPOLOWY,19397607,Debit,non_SCA,67.5,CTLS,PL,PL,2023-09-22,2023-10-02,4,0,Zgubienie lub kradzież karty,PL,W2,071,inne,1
1,1,74410493302019857407440,SN-Visa,Wiele Rachunków,F3816,FIRMA HANDLOWO USŁUGOWA STYL A,13315807,Debit,non_SCA,4.5,CTLS,GB,G1,2023-10-29,2023-11-19,4,1,Zgubienie lub kradzież karty,NPL,G1,071,inne,1
2,2,74410493348020130474765,SN-Visa,Wiele Rachunków,S7465,SMARTSPOT SP z o.o. S.K.,14820007,Credit,SCA,2249.0,CTLS,AE,G1,2023-12-14,2023-12-21,4,6,Pozostałe,NPL,G1,071,inne,0
3,3,74410493265019614462758,SN-Visa,Niezrzeszeni,P5919,F H U PEPPER PATRYCJA MELCER,10726807,Debit,non_SCA,31.0,CTLS,PL,PL,2023-09-22,2023-10-02,4,0,Zgubienie lub kradzież karty,PL,W2,071,inne,1
4,4,74410493265019615710189,SN-Visa,BANK MILLENNIUM,L2904,LMC LINGUISTIC MENTOR COACH SP,21185207,Debit,SCA,1855.55,CTLS,AE,G1,2023-09-22,2023-10-12,4,4,Karta sfałszowana,NPL,G1,071,inne,0
5,5,74410493304019869002724,SN-Visa,BANK MILLENNIUM,V0653,ManiKultura Katarzyna Gulan,12951707,Debit,non_SCA,110.0,CTLS,PL,PL,2023-10-31,2023-11-16,4,6,Pozostałe,PL,W2,071,inne,0
6,6,74410493346020119551411,SN-Visa,Wiele Rachunków,S7465,SMARTSPOT SP z o.o. S.K.,14820007,Credit,SCA,4299.0,CTLS,AE,G1,2023-12-12,2023-12-23,4,6,Pozostałe,NPL,G1,071,inne,0
7,7,74410493265019615712342,SN-Visa,BANK MILLENNIUM,L2904,LMC LINGUISTIC MENTOR COACH SP,21185207,Debit,SCA,1750.0,CTLS,AE,G1,2023-09-22,2023-10-12,4,4,Karta sfałszowana,NPL,G1,071,inne,0
8,8,74410493269019638417883,SN-Visa,BANK MILLENNIUM,L2904,LMC LINGUISTIC MENTOR COACH SP,21185207,Debit,SCA,500.0,CTLS,AE,G1,2023-09-26,2023-10-15,4,6,Pozostałe,NPL,G1,071,inne,0
9,9,74410493282019723486275,SN-Visa,Wiele Rachunków,G5121,Georgian Bakery Sp. z o.o.,19400407,Credit,non_SCA,13.0,CTLS,US,G1,2023-10-09,2023-12-21,4,2,Nieodebrana karta,NPL,G1,071,inne,1
