,ARN,trx_date,posted_date,quarter,FT,FT description
0,05185243285034281917150,2023-10-12,2023-10-12,4,5,Pozostałe
1,05185243306034628138028,2023-11-02,2023-11-10,4,0,Zgubienie lub kradzież karty
2,05185243222033115826831,2023-08-10,2023-11-14,4,4,Karta sfałszowana
3,05185243222033115708526,2023-08-10,2023-11-14,4,4,Karta sfałszowana
4,05185243343035190249213,2023-12-09,2023-12-10,4,3,Pozostałe
5,05185243338035104648002,2023-12-04,2023-12-14,4,6,Pozostałe
6,05185243346035235005213,2023-12-12,2023-12-14,4,1,Zgubienie lub kradzież karty
7,05185243346035234986173,2023-12-12,2023-12-14,4,1,Zgubienie lub kradzież karty
8,05185243116031067521250,2023-04-26,2023-12-20,4,0,Zgubienie lub kradzież karty
9,05185243171032120114341,2023-06-20,2023-12-20,4,0,Zgubienie lub kradzież karty
10,05185243172032128737431,2023-06-21,2023-12-20,4,0,Zgubienie lub kradzież karty
11,05185243179032271708083,2023-06-28,2023-12-20,4,0,Zgubienie lub kradzież karty
